file_id,implementation,connection_duration,version_negotiation_occurred,retry_occurred,migration_type,first_path_validation_response_latency,path_validation_initiated,packets_sent_client,packets_sent_server,handshake_duration,time_to_migration,migration_duration,packets_before_migration,total_bidi_streams_client_init,total_udi_streams_client_init
16524068,quiche,12.180767003416282,True,True,BEFORE_DOWNLOAD,0.4789602419190602,1.0,13,12,7.415141339851458,7.057771922107421,0.7132536168868889,13,1,4
14534619,quicgo,2.7411814762324402,False,False,BEFORE_DOWNLOAD,0.05419909290723956,1.0,10,9,2.1193283712852695,4.6337444645524,0.09280528762729268,11,1,1
14207827,nginx,899.0101853026592,False,False,AFTER_DOWNLOAD,0.3779818397810517,1.0,13,7,17.499460678813083,58.20455042426664,0.8863033871658677,12,1,4
2647425,aioquic,143.81102331605584,False,False,BEFORE_DOWNLOAD,0.38279737016179205,1.0,9,9,9.999016260259374,28.297664436949674,0.900067817692182,12,1,4
3975961,quicgo,2.1709255829519334,False,False,BEFORE_DOWNLOAD,0.052767305352438565,1.0,9,9,1.6666225472205274,0.4920089374146359,0.12309655050771799,11,1,1
675821,aioquic,10.373497062108457,True,False,BEFORE_DOWNLOAD,0.07255961854218455,1.0,12,10,6.335418155706354,10.715785465557943,0.8276440029086428,8,1,3
284200,quiche,30.21877759155914,True,True,BEFORE_DOWNLOAD,0.586112550187819,1.0,14,12,3.7654630593801013,8.842289269895748,1.6390636552312638,13,1,4
16593743,aioquic,243.94548028612817,True,False,BEFORE_DOWNLOAD,15.247509124234426,1.0,8,8,12.290113247737274,38.87089909302122,15.347503115705763,7,1,4
3487525,nginx,6.6910837280665385,True,False,BEFORE_DOWNLOAD,0.029270476154267654,1.0,12,10,2.5062825189251114,1.803377005489343,0.6835478121317884,8,1,3
15170225,nginx,7.610125277949199,True,False,BEFORE_DOWNLOAD,0.04560326480338316,1.0,12,10,5.292730004822859,8.45222952429133,0.8286014556168413,8,1,3
1859797,quiche,13.832419908188777,True,False,BEFORE_DOWNLOAD,0.4865750737049802,1.0,14,12,5.4470591727059485,8.105495120757636,0.8092061622782409,13,1,4
1756662,quicgo,2.4459048860900365,False,False,BEFORE_DOWNLOAD,0.12460350933873593,1.0,10,10,1.8247215812099586,1.1064172963638237,0.2293230805652755,11,1,1
5039250,quicgo,2.574926027466262,False,False,BEFORE_DOWNLOAD,0.07537147784407755,1.0,10,10,1.7545517081116608,1.2840709680924185,0.2037415435130484,11,1,1
2559516,quiche,2.4456126026043363,False,False,BEFORE_DOWNLOAD,0.04522302240652415,1.0,9,9,2.0174207519784884,1.3987855259600632,0.07665839544019168,11,1,1
13531149,quiche,11.995315826809511,True,True,BEFORE_DOWNLOAD,0.5427988519789245,1.0,13,12,7.485452294469551,9.189718475796411,0.7510984932074087,13,1,4
8268339,quicgo,2.904645223437647,False,False,BEFORE_DOWNLOAD,0.06767069758921579,1.0,10,10,2.082818332079276,3.6059954904120706,0.040214184099219175,11,1,1
12505391,nginx,202.31895342533804,False,False,AFTER_DOWNLOAD,0.3719018789109797,1.0,10,10,11.715852491629288,77.96224207359379,0.8415884529084663,12,1,4
7938734,aioquic,1700.329729750506,False,False,BEFORE_DOWNLOAD,0.39986654578684916,1.0,13,12,10.703897552109346,14.647019655325117,0.9593432229566821,13,1,4
2718729,nginx,2.3318640773434245,False,False,BEFORE_DOWNLOAD,0.060601668055725505,1.0,10,10,1.6379356384277344,0.8315569348090825,0.06661747493981818,11,1,1
12559663,quiche,46.94525744925247,False,True,BEFORE_DOWNLOAD,14.99992260145311,1.0,8,7,7.217097966236884,12.562807771695043,14.692418342884679,5,1,4
2739058,quiche,7.421428371919604,True,False,BEFORE_DOWNLOAD,0.49816347453758025,1.0,14,12,3.332399302374938,4.031035944079606,0.7093032570434169,13,1,4
1974466,quicgo,2.4032386053315333,True,False,BEFORE_DOWNLOAD,0.025249171981348042,1.0,9,12,2.1144011303872294,1.2004931529827845,0.08110752073078868,15,1,1
1752498,nginx,6.647458704096269,True,False,BEFORE_DOWNLOAD,0.0,1.0,12,10,3.0735191763821286,2.7813831204478987,0.5444525959711204,8,1,3
