file_id,implementation,initial_ip_client,initial_ip_server,initial_port_client,initial_port_server,time_first,time_last,connection_duration,version_negotiation_occurred,retry_occurred,new_connection_ids_issued_server,retired_cid_count_client,retired_cid_count_server,new_connection_ids_issued_client,migration_type,first_path_validation_response_latency,path_validation_initiated,connection_close_type,bytes_sent_client,bytes_sent_server,packets_sent_client,packets_sent_server,quic_packets_sent_client,quic_packets_sent_server,handshake_duration,time_to_migration,migration_duration,packets_before_migration,app_data_bytes_before_migration,padding_bytes_in_validation_pc,padding_bytes_in_validation_pr,mtu,total_bidi_streams_client_init,total_bidi_streams_server_init,total_udi_streams_client_init,total_udi_streams_server_init,bytes_bidi_streams_client_init_client_sent,bytes_bidi_streams_client_init_server_sent,bytes_bidi_streams_server_init_client_sent,bytes_bidi_streams_server_init_server_sent,bytes_udi_streams_client_init,bytes_udi_streams_server_init,total_client_app_bytes,total_server_app_bytes,avg_request_size,avg_response_size,ack_sent_client,ack_sent_server,crypto_sent_client,crypto_sent_server,handshake_done_client,handshake_done_server,path_challenge_sent_client,path_challenge_sent_server,path_response_sent_client,path_response_sent_server
3172,aioquic,127.0.0.2,127.0.0.1,49668,4433,2025-11-17T17-47-37.011112,2025-11-17T17-47-37.060358,49.24607276916504,0,0,7,0,0,7,BEFORE_DOWNLOAD,14.654159545898438,1.0,CLIENT_CLOSE,3153,3090,7,7,22,19,16.601085662841797,28.69105339050293,15.407085418701172,7,34,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,5,3,2,3,0,1,0,1,1,0
3173,aioquic,127.0.0.2,127.0.0.1,50461,4433,2025-11-17T17-47-40.410962,2025-11-17T17-47-40.433849,22.886991500854492,0,0,7,0,0,7,BEFORE_DOWNLOAD,9.43899154663086,1.0,CLIENT_CLOSE,3207,3027,8,6,22,18,9.93800163269043,9.589910507202148,10.220050811767578,5,17,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,4,2,2,3,0,1,0,1,1,0
3174,aioquic,127.0.0.2,127.0.0.1,49669,4433,2025-11-17T17-47-43.799772,2025-11-17T17-47-43.824725,24.95288848876953,0,0,7,0,0,7,BEFORE_DOWNLOAD,10.677099227905273,1.0,CLIENT_CLOSE,3207,3027,8,6,22,18,10.686874389648438,9.984970092773438,11.665105819702148,5,17,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,4,2,2,3,0,1,0,1,1,0
3175,aioquic,127.0.0.2,127.0.0.1,55759,4433,2025-11-17T17-47-47.151185,2025-11-17T17-47-47.182836,31.651020050048828,0,0,7,0,0,7,BEFORE_DOWNLOAD,14.860868453979492,1.0,CLIENT_CLOSE,3094,2966,6,5,22,18,11.970996856689453,12.630939483642578,15.38395881652832,6,34,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,5,2,2,3,0,1,0,1,1,0
3176,aioquic,127.0.0.2,127.0.0.1,49669,4433,2025-11-17T17-47-50.616860,2025-11-17T17-47-50.652164,35.30406951904297,0,0,7,0,0,7,BEFORE_DOWNLOAD,14.575958251953125,1.0,CLIENT_CLOSE,3153,3090,7,7,22,19,10.221004486083984,17.075061798095703,15.0299072265625,7,34,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,5,3,2,3,0,1,0,1,1,0
3177,aioquic,127.0.0.2,127.0.0.1,53362,4433,2025-11-17T17-47-53.927631,2025-11-17T17-47-53.949194,21.563053131103516,0,0,7,0,0,7,BEFORE_DOWNLOAD,6.8759918212890625,1.0,CLIENT_CLOSE,3207,3027,8,6,22,18,10.478019714355469,10.204076766967773,7.623910903930664,5,17,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,4,2,2,3,0,1,0,1,1,0
3178,aioquic,127.0.0.2,127.0.0.1,51457,4433,2025-11-17T17-47-57.321475,2025-11-17T17-47-57.354915,33.43987464904785,0,0,7,0,0,7,BEFORE_DOWNLOAD,13.273000717163086,1.0,CLIENT_CLOSE,3153,3151,7,8,22,21,9.914875030517578,15.452861785888672,14.091014862060547,7,34,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,5,3,2,3,0,1,0,1,1,0
3179,aioquic,127.0.0.2,127.0.0.1,51400,4433,2025-11-17T17-48-00.756076,2025-11-17T17-48-00.778632,22.555828094482422,0,0,7,0,0,7,BEFORE_DOWNLOAD,8.610963821411133,1.0,CLIENT_CLOSE,3207,3027,8,6,22,18,9.496927261352539,8.903980255126953,9.692907333374023,5,17,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,4,2,2,3,0,1,0,1,1,0
3180,aioquic,127.0.0.2,127.0.0.1,53720,4433,2025-11-17T17-48-04.128317,2025-11-17T17-48-04.152035,23.717880249023438,0,0,7,0,0,7,BEFORE_DOWNLOAD,6.335973739624023,1.0,CLIENT_CLOSE,3207,3027,8,6,22,18,14.007806777954102,13.585805892944336,7.182121276855469,5,17,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,4,2,2,3,0,1,0,1,1,0
3181,aioquic,127.0.0.2,127.0.0.1,53435,4433,2025-11-17T17-48-07.815701,2025-11-17T17-48-07.842839,27.13799476623535,0,0,7,0,0,7,BEFORE_DOWNLOAD,9.04393196105957,1.0,CLIENT_CLOSE,3207,3027,8,6,22,18,12.614011764526367,12.09402084350586,10.011911392211914,5,17,0,0,0,1,0,4,3,28,878,0,0,20,17,48,895,9.6,223.75,4,2,2,3,0,1,0,1,1,0
