file_id,initial_ip_client,initial_ip_server,initial_port_client,initial_port_server,time_first,time_last,connection_duration,version_negotiation_occurred,retry_occurred,new_connection_ids_issued_server,retired_cid_count_client,retired_cid_count_server,new_connection_ids_issued_client,migration_type,path_validation_initiated,first_path_validation_response_latency,connection_close_type,bytes_sent_client,bytes_sent_server,packets_sent_client,packets_sent_server,quic_packets_sent_client,quic_packets_sent_server,handshake_duration,time_to_migration,migration_duration,packets_before_migration,app_data_bytes_before_migration,padding_bytes_in_validation_pc,padding_bytes_in_validation_pr,mtu,total_bidi_streams_client_init,total_bidi_streams_server_init,total_udi_streams_client_init,total_udi_streams_server_init,bytes_bidi_streams_client_init_client_sent,bytes_bidi_streams_client_init_server_sent,bytes_bidi_streams_server_init_client_sent,bytes_bidi_streams_server_init_server_sent,bytes_udi_streams_client_init,bytes_udi_streams_server_init,ack_sent_client,ack_sent_server,crypto_sent_client,crypto_sent_server,handshake_done_client,handshake_done_server,path_challenge_sent_client,path_challenge_sent_server,path_response_sent_client,path_response_sent_server
1,127.0.0.2,127.0.0.1,54135,4433,2025-10-20T18-31-41.865828,2025-10-20T18-31-41.973080,107.25188255310059,1,1,1,0,0,1,IP_AND_PORT,1,1.1742115020751953,CLIENT_CLOSE,7269,4649,14,12,19,19,77.66485214233398,86.83586120605469,2.0401477813720703,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
10,127.0.0.2,127.0.0.1,51029,4433,2025-10-20T18-32-15.423191,2025-10-20T18-32-15.437308,14.117002487182617,1,1,1,0,0,1,IP_AND_PORT,1,0.8001327514648438,CLIENT_CLOSE,7269,4648,14,12,19,19,8.035898208618164,10.45989990234375,1.2271404266357422,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
11,127.0.0.2,127.0.0.1,53788,4433,2025-10-20T18-32-18.998389,2025-10-20T18-32-19.023298,24.909019470214844,1,1,1,0,0,1,IP_AND_PORT,1,1.3659000396728516,CLIENT_CLOSE,7269,4649,14,12,19,19,15.118837356567383,18.115997314453125,2.296924591064453,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
12,127.0.0.2,127.0.0.1,64736,4433,2025-10-20T18-32-23.160335,2025-10-20T18-32-23.177023,16.687870025634766,1,1,1,0,0,1,IP_AND_PORT,1,0.6651878356933594,CLIENT_CLOSE,7269,4648,14,12,19,19,11.420011520385742,13.275861740112305,1.0530948638916016,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
13,127.0.0.2,127.0.0.1,63284,4433,2025-10-20T18-32-26.815987,2025-10-20T18-32-26.834053,18.065929412841797,1,1,1,0,0,1,IP_AND_PORT,1,0.7121562957763672,CLIENT_CLOSE,7269,4649,14,12,19,19,10.921955108642578,12.63880729675293,1.1191368103027344,12,21,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
14,127.0.0.2,127.0.0.1,54030,4433,2025-10-20T18-32-30.560692,2025-10-20T18-32-30.581373,20.680904388427734,1,1,1,0,0,1,IP_AND_PORT,1,1.3279914855957031,CLIENT_CLOSE,7269,4723,14,13,19,20,11.73710823059082,14.283895492553711,2.028942108154297,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,6,3,4,0,1,1,1,1,1
15,127.0.0.2,127.0.0.1,54088,4433,2025-10-20T18-32-34.583308,2025-10-20T18-32-34.604000,20.692110061645508,1,1,1,0,0,1,IP_AND_PORT,1,0.8428096771240234,CLIENT_CLOSE,7194,4649,13,12,18,19,11.581182479858398,15.767097473144531,1.5189647674560547,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,4,5,3,4,0,1,1,1,1,1
16,127.0.0.2,127.0.0.1,53369,4433,2025-10-20T18-32-38.367459,2025-10-20T18-32-38.390929,23.469924926757812,1,1,1,0,0,1,IP_AND_PORT,1,1.6429424285888672,CLIENT_CLOSE,7269,4580,14,11,19,19,14.352083206176758,16.41988754272461,2.2220611572265625,11,20,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
17,127.0.0.2,127.0.0.1,52944,4433,2025-10-20T18-32-42.116684,2025-10-20T18-32-42.139195,22.511005401611328,1,1,1,0,0,1,IP_AND_PORT,1,1.6570091247558594,CLIENT_CLOSE,7274,4580,14,11,20,19,14.657974243164062,16.833066940307617,2.1560192108154297,11,20,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,6,5,3,4,0,1,1,1,1,1
18,127.0.0.2,127.0.0.1,60669,4433,2025-10-20T18-32-46.025265,2025-10-20T18-32-46.050681,25.416135787963867,1,1,1,0,0,1,IP_AND_PORT,1,1.940011978149414,CLIENT_CLOSE,7269,4650,14,12,19,19,14.291048049926758,17.338991165161133,2.852916717529297,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
19,127.0.0.2,127.0.0.1,63093,4433,2025-10-20T18-32-49.845665,2025-10-20T18-32-49.865686,20.02096176147461,1,1,1,0,0,1,IP_AND_PORT,1,1.341104507446289,CLIENT_CLOSE,7269,4649,14,12,19,19,11.739015579223633,14.08696174621582,2.0999908447265625,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
2,127.0.0.2,127.0.0.1,58017,4433,2025-10-20T18-31-45.606164,2025-10-20T18-31-45.625718,19.55413818359375,1,1,1,0,0,1,IP_AND_PORT,1,1.15203857421875,CLIENT_CLOSE,7269,4648,14,12,19,19,10.725975036621094,13.529062271118164,1.8148422241210938,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
20,127.0.0.2,127.0.0.1,54110,4433,2025-10-20T18-32-53.659294,2025-10-20T18-32-53.678830,19.53601837158203,1,1,1,0,0,1,IP_AND_PORT,1,1.641988754272461,CLIENT_CLOSE,7269,4649,14,12,19,19,11.227846145629883,12.987136840820312,2.4690628051757812,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
21,127.0.0.2,127.0.0.1,61774,4433,2025-10-20T18-32-57.431787,2025-10-20T18-32-57.450568,18.780946731567383,1,1,1,0,0,1,IP_AND_PORT,1,0.9720325469970703,CLIENT_CLOSE,7194,4649,13,12,18,19,10.676145553588867,13.216018676757812,1.4989376068115234,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,4,5,3,4,0,1,1,1,1,1
22,127.0.0.2,127.0.0.1,52216,4433,2025-10-20T18-33-01.189916,2025-10-20T18-33-01.209878,19.962072372436523,1,1,1,0,0,1,IP_AND_PORT,1,1.088857650756836,CLIENT_CLOSE,7269,4649,14,12,19,19,12.423992156982422,15.15817642211914,1.653909683227539,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
23,127.0.0.2,127.0.0.1,51791,4433,2025-10-20T18-33-04.968470,2025-10-20T18-33-04.989342,20.871877670288086,1,1,1,0,0,1,IP_AND_PORT,1,1.6150474548339844,CLIENT_CLOSE,7344,4648,15,12,20,19,12.745857238769531,15.35487174987793,2.084970474243164,12,21,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,6,5,3,4,0,1,1,1,1,1
24,127.0.0.2,127.0.0.1,61793,4433,2025-10-20T18-33-08.805873,2025-10-20T18-33-08.826156,20.282983779907227,1,1,1,0,0,1,IP_AND_PORT,1,1.9290447235107422,CLIENT_CLOSE,7344,4579,15,11,20,19,11.140823364257812,13.342142105102539,2.6450157165527344,11,20,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,6,5,3,4,0,1,1,1,1,1
25,127.0.0.2,127.0.0.1,56211,4433,2025-10-20T18-33-12.571164,2025-10-20T18-33-12.595125,23.96106719970703,1,1,1,0,0,1,IP_AND_PORT,1,1.7249584197998047,CLIENT_CLOSE,7269,4650,14,12,19,19,15.667200088500977,18.19920539855957,2.386808395385742,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
26,127.0.0.2,127.0.0.1,57170,4433,2025-10-20T18-33-16.404824,2025-10-20T18-33-16.422783,17.958879470825195,1,1,1,0,0,1,IP_AND_PORT,1,1.0631084442138672,CLIENT_CLOSE,7274,4578,14,11,20,19,11.113166809082031,12.89987564086914,1.5680789947509766,11,20,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,6,5,3,4,0,1,1,1,1,1
27,127.0.0.2,127.0.0.1,57315,4433,2025-10-20T18-33-20.185515,2025-10-20T18-33-20.205101,19.58608627319336,1,1,1,0,0,1,IP_AND_PORT,1,1.505136489868164,CLIENT_CLOSE,7269,4578,14,11,19,19,10.792016983032227,12.485980987548828,2.321004867553711,11,20,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
28,127.0.0.2,127.0.0.1,51155,4433,2025-10-20T18-33-24.000743,2025-10-20T18-33-24.025743,25.00009536743164,1,1,1,0,0,1,IP_AND_PORT,1,1.6372203826904297,CLIENT_CLOSE,7269,4650,14,12,19,19,14.889955520629883,17.750978469848633,2.529144287109375,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
29,127.0.0.2,127.0.0.1,54336,4433,2025-10-20T18-33-27.810924,2025-10-20T18-33-27.835265,24.34086799621582,1,1,1,0,0,1,IP_AND_PORT,1,1.5408992767333984,CLIENT_CLOSE,7269,4723,14,13,19,20,14.191150665283203,16.891002655029297,2.315044403076172,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,6,3,4,0,1,1,1,1,1
3,127.0.0.2,127.0.0.1,56146,4433,2025-10-20T18-31-49.123136,2025-10-20T18-31-49.136392,13.256072998046875,1,1,1,0,0,1,IP_AND_PORT,1,0.5738735198974609,CLIENT_CLOSE,7269,4723,14,13,19,20,7.161140441894531,9.268045425415039,0.9829998016357422,12,21,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,6,3,4,0,1,1,1,1,1
30,127.0.0.2,127.0.0.1,49154,4433,2025-10-20T18-33-31.537599,2025-10-20T18-33-31.555953,18.353939056396484,1,1,1,0,0,1,IP_AND_PORT,1,0.6971359252929688,CLIENT_CLOSE,7269,4648,14,12,19,19,12.91203498840332,14.799833297729492,1.2981891632080078,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
31,127.0.0.2,127.0.0.1,59744,4433,2025-10-12T22-07-28.858269,2025-10-12T22-07-28.874067,15.798091888427734,1,1,1,0,0,1,IP_AND_PORT,1,0.6279945373535156,CLIENT_CLOSE,7269,4568,14,12,19,19,10.970115661621094,12.524127960205078,1.0058879852294922,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
32,127.0.0.2,127.0.0.1,54633,4433,2025-10-12T22-07-31.420071,2025-10-12T22-07-31.430356,10.285139083862305,1,1,1,0,0,1,IP_AND_PORT,1,0.4620552062988281,CLIENT_CLOSE,7269,4568,14,12,19,19,5.2928924560546875,6.7729949951171875,1.013040542602539,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
33,127.0.0.2,127.0.0.1,54636,4433,2025-10-12T22-07-33.930516,2025-10-12T22-07-33.940307,9.790897369384766,1,1,1,0,0,1,IP_AND_PORT,1,0.6182193756103516,CLIENT_CLOSE,7194,4568,13,12,18,19,5.002021789550781,6.620883941650391,1.0950565338134766,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,4,5,3,4,0,1,1,1,1,1
34,127.0.0.2,127.0.0.1,54639,4433,2025-10-12T22-07-36.416032,2025-10-12T22-07-36.428593,12.560844421386719,1,1,1,0,0,1,IP_AND_PORT,1,0.4820823669433594,CLIENT_CLOSE,7194,4568,13,12,18,19,8.144140243530273,9.624958038330078,0.8089542388916016,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,4,5,3,4,0,1,1,1,1,1
35,127.0.0.2,127.0.0.1,54642,4433,2025-10-12T22-07-38.968018,2025-10-12T22-07-38.980354,12.336015701293945,1,1,1,0,0,1,IP_AND_PORT,1,0.5221366882324219,CLIENT_CLOSE,7269,4568,14,12,19,19,7.815122604370117,9.34290885925293,0.9369850158691406,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
36,127.0.0.2,127.0.0.1,62699,4433,2025-10-12T22-07-41.442742,2025-10-12T22-07-41.454044,11.301994323730469,1,1,1,0,0,1,IP_AND_PORT,1,0.4868507385253906,CLIENT_CLOSE,7269,4568,14,12,19,19,6.886959075927734,8.358001708984375,0.7948875427246094,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
37,127.0.0.2,127.0.0.1,63782,4433,2025-10-12T22-07-43.992474,2025-10-12T22-07-44.003844,11.369943618774414,1,1,1,0,0,1,IP_AND_PORT,1,0.4489421844482422,CLIENT_CLOSE,7194,4568,13,12,18,19,7.011890411376953,8.333921432495117,0.7760524749755859,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,4,5,3,4,0,1,1,1,1,1
38,127.0.0.2,127.0.0.1,63785,4433,2025-10-12T22-07-46.571553,2025-10-12T22-07-46.584369,12.81595230102539,1,1,1,0,0,1,IP_AND_PORT,1,0.4229545593261719,CLIENT_CLOSE,7194,4568,13,12,18,19,8.248090744018555,9.740114212036133,0.7748603820800781,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,4,5,3,4,0,1,1,1,1,1
39,127.0.0.2,127.0.0.1,63788,4433,2025-10-12T22-07-49.041494,2025-10-12T22-07-49.051800,10.306119918823242,1,1,1,0,0,1,IP_AND_PORT,1,0.4990100860595703,CLIENT_CLOSE,7269,4568,14,12,19,19,5.853176116943359,7.3070526123046875,0.8590221405029297,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
4,127.0.0.2,127.0.0.1,51557,4433,2025-10-20T18-31-52.863955,2025-10-20T18-31-52.887018,23.062944412231445,1,1,1,0,0,1,IP_AND_PORT,1,0.9520053863525391,CLIENT_CLOSE,7269,4648,14,12,19,19,16.010046005249023,18.290042877197266,1.4040470123291016,13,47,1294,1294,1382,1,0,4,4,72,308,0,0,47,47,5,5,3,4,0,1,1,1,1,1
40,127.0.0.2,127.0.0.1,63791,4433,2025-10-12T22-07-51.597114,2025-10-12T22-07-51.610101,12.986898422241211,1,1,1,0,0,1,IP_AND_PORT,1,0.6709098815917969,CLIENT_CLOSE,7269,4568,14,12,19,19,7.946968078613281,9.346961975097656,1.2018680572509766,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
41,127.0.0.2,127.0.0.1,63798,4433,2025-10-12T22-07-54.178835,2025-10-12T22-07-54.189805,10.970115661621094,1,1,1,0,0,1,IP_AND_PORT,1,0.6561279296875,CLIENT_CLOSE,7269,4568,14,12,19,19,6.222009658813477,7.636070251464844,1.085042953491211,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,5,5,3,4,0,1,1,1,1,1
42,127.0.0.2,127.0.0.1,61629,4433,2025-10-12T22-07-56.764841,2025-10-12T22-07-56.776744,11.902809143066406,1,1,1,0,0,1,IP_AND_PORT,1,0.4508495330810547,CLIENT_CLOSE,7194,4568,13,12,18,19,7.659196853637695,9.05299186706543,0.8769035339355469,13,47,1294,1294,1382,1,0,4,4,72,230,0,0,47,47,4,5,3,4,0,1,1,1,1,1
