frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,count_crypto,count_handshake_done,http3_stream_count,http3_fin_count,stream_length,stream_type_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.000232,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000422,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0.000137,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.000293,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0.001423,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
7,4.8e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0.003105,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
9,0.000644,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1
10,5.8e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
11,1.9e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
12,1.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1
13,0.000215,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,9.6e-05,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,0.000263,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.000234,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,0.000153,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0.000315,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1
19,4.7e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20,1.5e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1
22,1.6e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1
23,0.000447,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1
24,0.000288,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
