frame_number,delta_time,packet_length,packet_direction,header_form,is_initial,is_0rtt,is_handshake,is_1rtt,is_retry,is_vn,has_ack,has_padding,has_connection_close,has_path_challenge,has_path_response,has_new_connection_id,has_retire_cid,http3_stream_count,http3_fin_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.000142,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,0.000447,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000241,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0.000342,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.001362,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,5.5e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00278,1398,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,0.00049,556,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,5.6e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1.9e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.000139,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0.000113,1398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0.00021,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0.000229,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.000149,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0.000323,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,4.8e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1.6e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0.000388,211,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0.000298,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
