frame_number,delta_time,packet_length,packet_direction,header_form,is_initial,is_0rtt,is_handshake,is_1rtt,is_retry,is_vn,has_ack,has_padding,has_connection_close,has_path_challenge,has_path_response,has_new_connection_id,has_retire_cid,http3_stream_count,http3_fin_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.000311,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,0.000442,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000176,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0.000293,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.001548,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,7.4e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0.003011,1398,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,0.000594,556,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,5.5e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1.9e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.000241,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,9.8e-05,1398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0.000217,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0.00022,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.000175,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0.000316,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,4.8e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1.6e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1.3e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0.000492,211,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0.000356,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
