frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,count_crypto,count_handshake_done,http3_stream_count,http3_fin_count,stream_length,stream_type_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.000142,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000302,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,6.7e-05,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.000241,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0.001541,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
7,0.000119,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0.002585,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
9,0.000661,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1
10,6.6e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
11,2.2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
12,2.1e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1
13,0.000107,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0.000109,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,0.000223,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.000171,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,0.000113,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0.000293,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1
19,7.7e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20,2.4e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
21,2.3e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1
22,2.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1
23,0.000386,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1
24,0.000206,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
