capture_id,frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,count_ping,count_crypto,count_handshake_done,http3_stream_count,http3_fin_count,stream_length,stream_type_count
3172,1,2.1132907e-06,1313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172,2,4.4827377e-07,81,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172,3,1.0566454e-06,1229,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3172,4,0.00013771611,1229,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0
3172,5,3.695057e-05,449,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3172,6,0.00042204975,1386,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0
3172,7,4.3002263e-05,627,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,2,0,13,1
3172,8,0.0015145891,70,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3172,9,4.4859396e-05,1395,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3172,10,2.382255e-05,1142,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3172,11,5.4433247e-07,110,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3172,12,2.1132906e-05,1250,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3172,13,5.5073637e-05,1250,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3172,14,7.966466e-05,137,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1
3172,15,2.4270823e-05,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3172,16,9.862023e-06,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3172,17,0.00036620765,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,181,1
3172,18,6.4039114e-07,110,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
